1,Carl Friedrich Abel,1723-1787,Sinfonia em Mi bemol maior Op. 7 No. 6,Classico,1
2,Adolphe Adam,1803-1856,Giselle,Romantico,1
3,Isaac Albeniz,1860-1909,Iberia,Romantico,1
4,Tomaso Albinoni,1671-1751,Adagio in G Minor,Barroco,1
5,Franco Alfano,1875-1954,Resurrezione,Romantico,1
6,Hugo Emil Alfven,1872-1960,Sinfonia nº 1 em Fa menor Op. 7,Romantico,1
7,Francisco Antonio de Almeida,1722-1752,Sonata em Re maior Op. 1, No. 6,Barroco,1
8,Hendrik Andriessen,1892-1981,Miroir de Peine,Contemporaneo,1
9,Jurriaan Andriessen,1925-1996,Sinfonia nº 3,Contemporaneo,1
10,Louis Andriessen,1939-2021,De Staat,Contemporaneo,1
11,Anton Stepanovitch Arensky,1861-1906,Trio para Piano em Re menor Op. 32,Romantico,1
12,Juan Crisostomo de Arriaga,1806-1826,Los Esclavos Felices,Classico/Romantico,1
13,Daniel Francois Esprit Auber,1782-1871,La Muette de Portici,Romantico,1
14,Georges Auric,1899-1983,Les Six,Moderno,1
15,Kees van Baaren,1906-970,Symphony No. 1,Contemporaneo,1
16,Carl Philipp Emanuel Bach,1714-1788,Sinfonia em Re maior Wq 183 No. 1,Barroco,1
17,Johann Christian Bach,1735-1782,Sinfonia Concertante em Mi bemol maior,Classico,1
18,Johann Christoph Friedrich Bach,1732-1795,Sinfonia em Do menor,Barroco,1
19,Johann Sebastian Bach,1685-1750,Paixao segundo Sao Mateus,Barroco,1
20,Wilhelm Friedemann Bach,1710-1784,Sinfonia em Fa maior Fk 67,Barroco,1
21,Tekla Badarzewska Baranowska,1829-1861,La priere d'une vierge,Romantico,1
22,Mily Balakirev,1837-1910,Islamey,Romantico,1
23,Samuel Barber,1910-1981,Adagio for Strings,Contemporaneo,1
24,Francesco Barbieri,1823-1894,El barberillo de Lavapies,Romantico,1
25,Bela Bartok,1881-1945,Concerto para Orquestra,Modernista,1
26,Julian Bautista,1901-1961,Tres danzas argentinas,Contemporaneo,1
27,Ludwig van Beethoven,1770-1827,Sinfonia No. 9 em Re menor Op. 125,Romantico,1
28,Vincenzo Bellini,1801-1835,Norma,Romantico,1
29,Frantisek Benda,1709-1786,Concerto para Flauta em Mi menor,Barroco,1
30,Savino de Benedictis,1883-1971,Ninna nanna,Moderno,1
31,Alban Berg,1885-1935,Wozzeck,Modernista,1
32,Luciano Berio,1925-2003,Sinfonia,Contemporaneo,1
33,Hector Berlioz,1803-1869,Sinfonia Fantastica,Romantico,1
34,Bart Berman,1938-,Liza,Contemporaneo,1
35,Leonard Bernstein,1918-1990,West Side Story,Contemporaneo,1
36,Frederic Chopin,1810-1849,Concerto para Piano No. 1 em Mi menor,Romantico,1
37,Aaron Copland,1900-1990,Appalachian Spring,Contemporaneo,1
38,Claude Debussy,1862-1918,Clair de Lune,Impressionista,1
39,Antonin Dvorak,1841-1904,Sinfonia do Novo Mundo,Romantico,1
40,Edward Elgar,1857-1934,Enigma Variations,Romantico,1
41,Cesar Franck,1822-1890,Sinfonia em Re menor,Romantico,1
42,Edvard Grieg,1843-1907,Peer Gynt Suite,Romantico,1
43,George Frideric Handel,1685-1759,Oratorio de Messiah,Barroco,1
44,Gustav Holst,1874-1934,Os Planetas,Contemporaneo,1
45,Franz Liszt,1811-1886,Rapsodia Húngara No. 2,Romantico,1
46,Gustav Mahler,1860-1911,Sinfonia No. 5,Modernista,1
47,Wolfgang Amadeus Mozart,1756-1791,Sinfonia No. 40 em Sol menor,Classico,1
48,Giacomo Puccini,1858-1924,La Boheme,Romantico,1
49,Sergei Rachmaninoff,1873-1943,Concerto para Piano No. 2 em Do menor,Romantico,1
50,Maurice Ravel,1875-1937,Bolero,Impressionista,1
51,Nikolai Rimsky-Korsakov,1844-1908,Sheherazade,Romantico,1
52,Camille Saint-Saens,1835-1921,Sinfonia No. 3 "Sinfonia com orgao",Romantico,1
53,Dmitri Shostakovich,1906-1975,Sinfonia No. 5,Contemporaneo,1
54,Jean Sibelius,1865-1957,Sinfonia No. 2,Romantico,1
55,Richard Strauss,1864-1949,Assim Falou Zaratustra,Modernista,1
56,Igor Stravinsky,1882-1971,A Sagracao da Primavera,Modernista,1
57,Pyotr Ilyich Tchaikovsky,1840-1893,Sinfonia No. 5,Romantico,1
58,Giuseppe Verdi,1813-1901,Aida,Romantico,1
59,Antonio Vivaldi,1678-1741,As Quatro Estacões,Barroco,1
60,Richard Wagner,1813-1883,O Anel do Nibelungo,Romantico,1
61,Ralph Vaughan Williams,1872-1958,Fantasia sobre um Tema de Thomas Tallis,Contemporaneo,1
